FILE                                           	SEEING	
ATLAS_332p8_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.79  	
ATLAS_332p9_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.30  	
ATLAS_333p0_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.01  	
ATLAS_333p2_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_333p3_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_333p5_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.91  	
ATLAS_333p7_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.03  	
ATLAS_333p8_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.85  	
ATLAS_333p9_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.81  	
ATLAS_334p0_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.25  	
ATLAS_334p0_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.78  	
ATLAS_334p1_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.95  	
ATLAS_334p3_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_334p5_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_334p6_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.76  	
ATLAS_334p8_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.96  	
ATLAS_334p9_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.05  	
ATLAS_335p0_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.28  	
ATLAS_335p1_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.13  	
ATLAS_335p1_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_335p2_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.97  	
ATLAS_335p3_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.76  	
ATLAS_335p5_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.79  	
ATLAS_335p6_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.70  	
ATLAS_335p8_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.75  	
ATLAS_335p9_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.93  	
ATLAS_336p1_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.29  	
ATLAS_336p1_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.03  	
ATLAS_336p2_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.17  	
ATLAS_336p3_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.13  	
ATLAS_336p3_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_336p5_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.75  	
ATLAS_336p8_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.71  	
ATLAS_336p9_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.84  	
ATLAS_337p0_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.88  	
ATLAS_337p2_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.11  	
ATLAS_337p3_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.37  	
ATLAS_337p3_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.02  	
ATLAS_337p4_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.10  	
ATLAS_337p5_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.83  	
ATLAS_337p7_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.76  	
ATLAS_337p8_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.70  	
ATLAS_337p9_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.71  	
ATLAS_338p1_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.82  	
ATLAS_338p1_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.77  	
ATLAS_338p2_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_338p4_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.05  	
ATLAS_338p5_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.98  	
ATLAS_338p6_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.06  	
ATLAS_338p7_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	1.02  	
ATLAS_338p9_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.66  	
ATLAS_338p9_m36p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.75  	
ATLAS_339p1_m31p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.72  	
ATLAS_339p2_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits	0.88  	
ATLAS_339p3_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.33  	
ATLAS_339p3_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.74  	
ATLAS_339p5_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.05  	
ATLAS_339p7_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits	1.08  	
ATLAS_339p7_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.86  	
ATLAS_339p9_m35p5_g_SDSS.V0.5.6A.swarp.cut.fits	0.93  	
ATLAS_33p1_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.32  	
